"In Heather's Sheet",,,,"In Amandus's Sheet",,,"What it SHOULD be",,,"Comment"
"Iringa","Iringa","SHIDEPHA + - all done together under DSM","e","Iringa","Iringa","Shidepha",,,"SHIDEPHA","all done together under DSM"
"Iringa","Iringa","SPW (Community Resource Program)","e","Iringa","Iringa","SPW",,,"SPW",
"Iringa","Iringa","UMATI youth centre","e","Iringa","Iringa","Umati",,,"Umati Youth Centre",
"Iringa","Kilolo","CETAT","n",,,,,,,
"Iringa","Ludewa","DAC","n",,,,,,,
"Iringa","Ludewa","District Ed. Trust Fund","e","Iringa","Ludewa","Distr.Educ.Trust fund",,,"District Education Trust Fund",
"Iringa","Ludewa","Ubena Comm.conce","e","Iringa","Ludewa","Ubena Com.Conce",,,"Ubena Comm.conce",
"Iringa","Ludewa","Xtian Comm.Services","e","Iringa","Ludewa","Xtian Com.Services",,,"Christian Community Services",
"Iringa","Makete","DAC","n",,,,,,,
"Iringa","Makete","ELCT according to the general secretyary naymann Chavalla, do not get the magazines but would love to)","e","Iringa","Makete","ELCT makete",,,"ELCT","According to the general secretyary naymann Chavalla, do not get the magazines but would love to)"
"Iringa","Makete","Kitulo Diary Farming","e","Iringa","Makete","Kitulo Dairy farm",,,"Kitulo Dairy Farming",
"Iringa","Makete","Makete Youth Dev. Network","e","Iringa","Makete","Makete Youth Dev.Network",,,"Makete Youth Development Network",
"Iringa","Makete","PIUMA","n",,,,,,,
"Iringa","Mufindi","DAC","n",,,,,,,
"Iringa","Mufindi","Mufindi Construction Co.","n",,,,,,,
"Iringa","Mufindi","Mufindi Education Trust Fund","n",,,,,,,
"Iringa","Njombe","NJODINGO","n",,,,,,,
"Iringa","Njombe","NPHAECOT","n",,,,,,,
"Iringa","Njombe","TANWAT (HB Care Centre) all tanwats was done together","n",,,,,,"TANWAT (HB Care Centre)"," all tanwats was done together"
"Iringa","Njombe","TANWAT (PADA)","n",,,,,,"TANWAT (PADA)"," all tanwats was done together"
"Kagera","Bukoba","RAC","n",,,,,,,
"Kagera","Bukoba","Tanzania Dev.& AIDs Prevention","n",,,,,,"Tanzania Development & AIDS Prevention",
"Kagera","Nygara","CONCERN","n",,,,,,,
"Kenya","Ilala","Masai Mara Base Camp","n",,,,,,,
"Kigoma","Kasulu","CEFODEC","n",,,,,,,
"Kigoma","Kigoma","Kigoma Vijana Dev. Association","n",,,,,,"Kigoma Vijana Development Association",
"Kigoma","Kigoma","RAC","n",,,,,,,
"Kigoma","Kigoma","RED CROSS","e","Kigoma","Red Cross","RED CROSS HQ Dar",,"Kigoma","Red Cross",
"Kilimanjaro","Moshi","KINSHAI Kilimanjaro Clusters","n",,,,,,,
"Kilimanjaro","Moshi","KIWAKKUKI","n",,,,,,,
"Kilimanjaro","Moshi","KIWIEKO","n",,,,,,,
"Kilimanjaro","Moshi","Moshi Youth Organisation","n",,,,,,,
"Kilimanjaro","Moshi","RAC","n",,,,,,,
"Kilimanjaro","Moshi","Village Education Project","n",,,,,,,
"Lindi","Lindi","RAC","n",,,,,,,
"Lindi","Lindi rural","American Peace corp-Concern/lingonet","e","Lindi","Lindi rural","Concern/Lingonet",,,"Concern/Lingonet",
"Lindi","Lindi rural","Cullture Officer","e","Lindi","Lindi rural","Culture Officer",,,"Culture Officer",
"Lindi","Lindi rural","District Community Development Officer","n",,,,,,,
"Lindi","Lindi rural","SAVE THE CHILDREN - Judika Sumari, Community Development Assistant - Don't get the magazine though they are aware of them and would love to get them","e","Lindi","Lindi rural","Save the Child.",,,"Save the Children","Judika Sumari, Community Development Assistant - Don't get the magazine though they are aware of them and would love to get them"
"Lindi","Lindi urban","Cullture Officer","e","Lindi","Lindi urban","Culture Officer",,,"Culture Officer",
"Lindi","Lindi urban","District Community Development Officer","n",,,,,,,
"Lindi","Liwale","District Community Development Officer","n",,,,,,,
"Lindi","Nachingwea","District Community Development Officer","n",,,,,,,
"Lindi","Ruangwa","District Community Development Officer","n",,,,,,,
"Lindi","Ruangwa","GTZ/Nursing Officer (volunteer)","e","Lindi","Ruangwa","Nursing Officer",,,"Nursing Officer",
"Lindi","Ruangwa","Resource centre - COULD NOT ASSERTAIN WHICH RESOURCE CENTRE WAS RECEIVING MATERIALS","e","Lindi","Ruangwa","Resource Center Govt",,,"Resource Centre Government","COULD NOT ASSERTAIN WHICH RESOURCE CENTRE WAS RECEIVING MATERIALS"
"Manyara","Babati","Charitable Harambee Education Society","n",,,,,,,
"Manyara","Babati","Haydom Hosp.","e","Manyara","Babati","Haydom Hosp",,,"Haydom Hospital",
"Manyara","Babati","LAMP","e","Manyara","Babati","Lamp Project",,,"LAMP",
"Manyara","Babati","RAC","n",,,,,,,
"Manyara","Loliondo","LADO-Laramatak Dev. Organisation","n",,,,,,"LADO","LADO-Laramatak Dev. Organisation"
"Mara","Bunda","CODERT- Bunda","n",,,,,,"CODERT",
"Mara","Bunda","DDP ( funded by SIDA)","e","Mara","Bunda","DDP (SIDA)",,,"DDP","Funded by SIDA"
"Mara","Musoma","Buhemba Rural Agricultural Centre","n",,,,,,,
"Mara","Musoma","Huruma Group (HUGRO)","n",,,,,,,
"Mara","Musoma","Miali Centre and TCPC","n",,,,,,,
"Mara","Musoma","RAC","n",,,,,,,
"Mara","Serengeti","DDP (funded by SIDA)","e","Mara","Serengeti","DDP (SIDA)",,,"DDP","Funded by SIDA"
"Mara","Tarime","North Mara Mine","e","Mara","Tarime","North Mara Gold mine",,,"North Mara Gold Mine",
"Mbeya","Mbeya","AYOSA","n",,,,,,,
"Mbeya","Mbeya","Mbeya District Hospital","e","Mbeya","Mbeya","District Hosp",,,"Mbeya District Hospital",
"Mbeya","Mbeya","Mbeya Regional Hospital","n",,,,,,,
"Mbeya","Mbeya","Mbeya- VCT Clinic","n",,,,"Mbeya",,"VCT Clinic",
"Mbeya","Mbeya","RAC","n",,,,,,,
"Mbeya","Mbeya","SHIDEPHA + - all done together under DSM","e","Mbeya","Mbeya","SHIDEPHA",,,"SHIDEPHA","All done together under DSM"
"Mbeya","Mbozi","Mbozi Rural Welfare Agency","n",,,,,,,
"Mbeya","Mbozi","MIICO (Mbozi, Ileje,Isangati Consortium)","n",,,,,,,
"Morogoro","Ifakara","Ifakara Teachers' Resource Centre (IRC)","e","Morogoro","Ifakara","TRC",,,,"TRC – Teachers' Resource Centre"
"Morogoro","Kilombero","District Medical Officer","n",,,,,,,
"Morogoro","Kilombero","Father Ndege chruch","e","Morogoro","Kilombero","Father Ndege",,,"Father Ndege Church",
"Morogoro","Kilombero","MITIKI (Done with Kilombero Teak in survey)","e","Morogoro","Kilombero","MITIKI",,,,"Done with Kilombero Teak in survey"
"Morogoro","Kilombero","SHIDEPHA + - all done together under DSM","e","Morogoro","Kilombero","SHIDEPHA",,,,"all done together under DSM"
"Morogoro","Kilosa","District Youth Officer","e","Morogoro","Kilosa","District Youth Office",,,"District Youth Officer",
"Morogoro","Kilosa","HUDESA","n",,,,,,,
"Morogoro","Kilosa","Tumaini-Dumila","n",,,,,,,
"Morogoro","Mahenge","DAC","n",,,,,,,
"Morogoro","Mahenge","District Court","e","Morogoro","Mahenge/ulanga","District Court",,"Mahenge",,
"Morogoro","Morogoro","AMANI CENTRE for People with Disabilities","e","Morogoro","Morogoro","Amani Centre",,,"AMANI Centre for People with Disabilities",
"Morogoro","Morogoro","CHAYODE","e","Morogoro","Morogoro municipality","CHAYODE - Morogoro",,"Morogoro municipality","CHAYODE",
"Morogoro","Morogoro","Faraja Trust Fund","e","Morogoro","Morogoro municipality","FARAJA Trust Fund",,"Morogoro municipality","FARAJA Trust Fund",
"Morogoro","Morogoro","Mapinduzi Cultural Centre","e","Morogoro","Morogoro municipality","Mapinduzi Cultural Centre-Morogoro",,"Morogoro municipality","Mapinduzi Cultural Centre",
"Morogoro","Morogoro","Muungano wa wasanii Morogoro (MWAMO)","e","Morogoro","Morogoro municipality","Muungano wa wasanii Morogoro (MWAMO).",,"Morogoro municipality","Muungano wa wasanii Morogoro (MWAMO)",
"Morogoro","Morogoro","RAC","n",,,,,,,
"Morogoro","Morogoro","Tumaini Rehabilitation Services","n",,,,,,,
"Morogoro","Morogoro","UMATI Youth Centre","n",,,,,,,
