,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
71,"Mcharo ss",,," 50 ",,"Bunda",21667,06-Aug-07," 50 "
72,"Kunzugu ss",,," 50 ",,"Bunda",21668,06-Aug-07," 50 "
73,"Gutta ss",,," 50 ",,"Bunda",21669,21-Aug-07," 50 "
74,"Muranda ss",,," 50 ",,"Bunda",21670,21-Aug-07," 50 "
75,"Mwigunda ss",,," 50 ",,"Bunda",21671,21-Aug-07," 50 "
76,"Hunyari ss",,," 50 ",,"Bunda",21672,06-Aug-07," 50 "
77,"Salama ss",,," 50 ",,"Bunda",21673,07-Aug-07," 50 "
78,"Mikomariro ss",,," 50 ",,"Bunda",21674,14-Aug-07," 50 "
79,"Nyeruma ss",,," 50 ",,"Bunda",21675,07-Aug-07," 50 "
80,"Wariku ss",,," 50 ",,"Bunda",21676,06-Aug-07," 50 "
81,"Sazira ss",,," 50 ",,"Bunda",21677,06-Aug-07," 50 "
82,"Mugumu ss",,," 50 ",,"Serengeti",21678,06-Aug-07," 50 "
83,"Nyamoko ss",,," 50 ",,"Serengeti",21679,21-Aug-07," 50 "
84,"Manchira ss",,," 50 ",,"Serengeti",21680,21-Aug-07," 50 "
85,"Mama Maria ss",,," 50 ",,"Serengeti",21681,21-Aug-07," 50 "
86,"Rebu ss",,," 50 ",,"Tarime",21682,11-Aug-07," 50 "
87,"Nkende ss",,," 50 ",,"Tarime",21683,21-Aug-07," 50 "
88,"Makoko Day ss",,," 50 ",,"Musoma(m)",21684,03-Aug-07," 50 "
89,"Bweri ss",,," 50 ",,"Musoma(m)",21635,03-Aug-07," 50 "
90,"Buhare ss",,," 50 ",,"Musoma(m)",21686,03-Aug-07," 50 "
91,"Nyambono ss",,," 50 ",,"Musoma(v)",21687,03-Aug-07," 50 "
92,"Mkono ss",,," 50 ",,"Musoma(v)",21688,21-Aug-07," 50 "
93,"Kemoramba ss",,," 50 ",,"Musoma(v)",21689,21-Aug-07," 50 "
94,"Butiama ss",,," 50 ",,"Musoma(v)",21690,02-Aug-07," 50 "
95,"Bulima ss",,," 50 ",,"Musoma(v)",21691,02-Aug-07," 50 "
96,"Bunda TTc",,," 75 ",,"Bunda",21692,06-Aug-07," 75 "
97,"Mbogi ss",,," 50 ",,,21693,10-Aug-07," 50 "
98,"Bwirege ss",,," 50 ",,,21694,21-Aug-07," 50 "
99,"Nyathorogo ss",,," 50 ",,,21695,01-Aug-07," 50 "
100,"Buhemba ss",,," 50 ",,,21696,01-Aug-07," 50 "
101,"Suguti ss",,," 50 ",,,21697,01-Aug-07," 50 "
102,"Mirwa ss",,," 50 ",,,21698,24-Aug-07," 50 "
103,"Mtiro ss",,," 50 ",,,21699,21-Aug-07," 50 "
104,"Kyanyari ss",,," 50 ",,,21700,21-Aug-07," 50 "
105,"Makojo ss",,," 50 ",,,20750,21-Aug-07," 50 "
106,"Tegeruka ss",,," 50 ",,,20689,04-Aug-07," 50 "
107,"Mmazani ss",,," 50 ",,,20690,21-Aug-07," 50 "
108,"Bugwema ss",,," 50 ",,,20691,14-Aug-07," 50 "
109,"Nyakatende ss",,," 50 ",,,20692,24-Aug-07," 50 "
110,"Etaro ss",,," 50 ",,,20693,21-Aug-07," 50 "
,," 18,118 "," 709 "," 5,750 ",,,,,"5,750"
,"MBEYA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Amani ss",,," 50 ",,"Chimala","21451",16-Sep-07,50
2,"Arage ss",,," 50 ",,"Mbeya","21452",15-Aug-07,50
3,"Chimala ss       spw"," 210 "," 15 "," 50 ",174,"Chimala","21453",,50
4,"Chikanamlilo ss",,," 50 ",,"Mbeya",,,
5,"Chunya SS   spw  "," 320 "," 13 "," 50 ",43,"Chunya",,,
6,"Gibbons Mwaikambo VTC",,," 50 ",634,"Tukuyu","21456",18-Sep-07,50
7,"Ibungile SS",,," 50 ",634,"Rungwe",,,
8,"Iganzo ss",,," 50 ","p/bag","Mbeya","21458",20-Aug-07,50
9,"Igawilo ss",,," 50 ",274,"Mbeya(v)","21459",13-Sep-07,50
10,"Igurusi ss        spw"," 150 "," 10 "," 50 ",23,"Mbarali",,,
11,"Ilembo ss",,," 50 ",1731,"Mbeya(v)","21461",19-Sep-07,50
12,"Iljeje SS          spw"," 430 "," 19 "," 50 ",124,"Ileje",,,
13,"Ilolo ss",,," 50 ",,"Mbozi",,,
14,"Ipinda ss         spw"," 406 "," 14 "," 50 ","p/bag","Kyela","21464",22-Aug-07,50
15,"Irambo ss",,," 50 ",1774,"Mbeya(v)","21465",19-Sep-07,50
16,"Isansa ss",,," 50 ",21,"Mbozi","21466",11-Sep-07,50
17,"Itaka ss",,," 50 ",,"Mbozi","21467",11-Sep-07,50
18,"Itende ss",,," 50 ",1988,"Mbeya","21468",14-Sep-07,50
19,"Itope SS",,," 50 ",50,"Kyela","21469",18-Aug-07,50
20,"Itundu ss",,," 50 ",2994,"Mbarali","21470",19-Sep-07,50
21,"Iwalanje ss        spw"," 267 "," 25 "," 50 ",599,"Mbeya(v)","21471",19-Sep-07,50
22,"Ivumwe ss",,," 50 ",1054,"Mbeya","21472",17-Aug-07,50
23,"Iyula ss",,," 50 ","p/bag","Mbozi",,,
24,"Ikuti ss",,," 50 ",,"Rungwe",,,
25,"Ilemi ss",,," 50 ",,"Mbeya","21475",14-Sep-07,50
26,"Iyunga SS         spw"," 948 "," 81 "," 100 ",701,"Mbeya","21476",21-Aug-07,100
27,"J.K.Nyerere ss",,," 50 ",,"Mbozi","21477",04-Sep-07,50
28,"Kafule ss",,," 50 ",9,"Itumba -Ileje",,,
29,"Kamsamba ss",,," 50 ",,"Mbeya",,,
30,"Kanga ss",,," 50 ",20,"Chunya",,,
31,"Kinyala ss",,," 50 ",363,"Tukuyu",,,
32,"Kyejo ss",,," 50 ",,"Rungwe",,,
33,"Kipoke SS",,," 50 ",119,"Tukuyu",,,
34,"Kyela Day ss    spw"," 599 "," 26 "," 75 ",,"Kyela",,,
35,"Loleza SS"," 939 "," 44 "," 50 ",95,"Mbeya","21485",14-Aug-07,50
36,"Lubanda ss",,," 50 ",543,"Tukuyu",,,
37,"Lufilyo SS",,," 50 ",362,"Tukuyu","21487",18-Sep-07,50
38,"Uwanda ss"," 165 "," 13 "," 50 ",148,"Mbozi","21488",14-Aug-07,50
39,"Lupata SS",,," 50 ",402,"Rujewa",,,
40,"Lupatingatinga SS",,," 50 ",179,"Mbeya",,,
41,"Lutengano ss      spw"," 586 "," 28 "," 75 ",282,"Tukuyu","21491",18-Sep-07,75
42,"Lwangwa ss",,," 50 ",,"Rungwe","21492",17-Aug-07,50
43,"Madibira ss",,," 50 ","p/bag","Mbarali","21493",09-Sep-07,50
44,"Malenga ss",,," 50 ",54,"Rujewa","21494",14-Sep-07,50
45,"Manow Lutheran Jnr sem",,," 50 ",445,"Tukuyu","21495",07-Aug-07,50
46,"Matema Beach ss    spw"," 259 "," 15 "," 50 ",,"Kyela","21496",22-Aug-07,50
47,"Mawindi ss",,," 50 ",,"Rujewa","21497",13-Sep-07,50
48,"Mbalizi SS",,," 50 ",81,"Mbalizi","21498",21-Aug-07,50
49,"Mbeya Day ss",,," 50 ",372,"Mbeya","21499",21-Aug-07,50
50,"Mbozi Mission SS",,," 50 ",341,"Mbozi","21500",06-Aug-07,50
51,"Meta ss"," 1,555 "," 52 "," 50 ",227,"Mbeya","20884",17-Aug-07,50
52,"Mkwajuni SS     spw"," 170 "," 17 "," 50 ",2,"Chunya",,,
53,"Mlangali ss",,," 50 ",535,"Mbozi",,,
54,"Mlowo ss",,," 50 ",,"Mbeya","20887",07-Aug-07,50
55,"Montfort ss",,," 50 ",82,"Rujewa","20888",10-Sep-07,50
56,"Mporoto ss",,," 50 ","p/bag","Rungwe","20889",19-Sep-07,50
57,"Msangano ss",,," 50 ",105,"Mbozi","20890",06-Sep-07,50
58,"Msense ss",,," 50 ",,"Mbozi","20891",06-Sep-07,50
59,"Msia ss",,," 50 ",522,"Vwawa","20893",06-Sep-07,50
60,"Mwakaleli ss      spw"," 493 "," 32 "," 75 ",21,"Tukuyu","20894",18-Sep-07,75
61,"Mwigo ss",,," 50 ",50,"Kyela","20892",20-Aug-07,50
62,"Nazarene ss",,," 50 ",132,"Mbeya","20895",24-Aug-07,50
63,"Ndalambo ss",,," 50 ",210,"Mbozi",,,
64,"Ndembela ss",,," 50 ",120,"Tukuyu","26898",18-Sep-07,50
65,"Ngana SS",,," 50 ",195,"Kyela","20897",22-Aug-07,50
66,"Ntaba ss",,," 50 ",,"Rungwe","20899",22-Aug-07,50
67,"Panda Hill ss",,," 50 ",599,"Mbeya (v)",,,
68,"Ruiwa ss",,," 50 ",237,"Rujewa",,,
69,"Rujewa ss      spw"," 426 "," 22 "," 50 ",133,"Rujewa","20429",16-Sep-07,50
70,"Rungwe SS",,," 50 ",28,"Tukuyu",,,
71,"Samaritan Girls ss",,," 50 ","p/bag","Mbeya","20431",21-Aug-07,50
72,"Sangu ss"," 1,100 "," 64 "," 50 ",359,"Mbeya","20432",15-Aug-07,50
73,"Simbega ss",,," 50 ",3,"Mbozi",,,
74,"Southern Highlands ss",,," 50 ",3,"Mbeya","50",15-Aug-07,50
75,"St.Francis Girls ss",,," 50 ",924,"Mbeya","50",21-Aug-07,50
76,"St.mary's sem Mbalizi ",,," 50 ",179,"Mbeya(v)","20436",21-Aug-07,50
77,"Swilla ss",,," 50 ",1787,"Mbeya",,,
78,"Tembela ss",,," 50 ",1868,"Mbeya","20438",10-Aug-07,50
79,"Tukuyu Day ss",,," 50 ",27,"Rungwe","20439",18-Sep-07,50
80,"Tunduma SS    spw"," 310 "," 15 "," 50 ",186,"Mbozi","20440",04-Sep-07,50
81,"Usangu ss",,," 50 ",,"Chimala","20441",10-Aug-07,50
82,"Usongwe ss     spw"," 740 "," 30 "," 100 ",1502,"Mbeya(v)","20442",21-Aug-07,100
83,"Uyole ss",,," 50 ","p/bag","Mbeya","20443",12-Aug-07,50
84,"Vwawa SS     spw"," 562 "," 35 "," 75 ",224,"Mbozi","20444",18-Sep-07,75
85,"Mpuguso TTC",,," 75 ",104,"Tukuyu","20445",06-Aug-07,75
86,"Mpuguso ss",,," 75 ",98,"Ndala","20446",19-Sep-07,75
,," 3,138 "," 166 "," 4,550 ",,,,,"3,225"
,"MOROGORO",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Ifakara SS"," 795 "," 33 "," 75 ",148,"Ifakara","20491",03-Aug-07,75
2,"Iwemba SS"," 280 "," 10 "," 50 ",114,"Kilosa","20492",02-Aug-07,50
3,"Kilombero SS"," 540 "," 30 "," 75 ",588,"Ifakara","20493",03-Aug-07,75
4,"Kwiro SS"," 280 "," 11 "," 50 ",6,"Mahenge","20494",03-Aug-07,50
5,"Lusanga SS"," 340 "," 12 "," 50 ",150,"Turiani","20495",03-Aug-07,50
6,"Mazinyungu SS"," 320 "," 13 "," 50 ",139,"Kilosa","20496",31-Jul-07,50
7,"Mngeta SS"," 360 "," 14 "," 50 ",246,"Morogoro","21450",07-Aug-07,50
8,"Mzumbe SS"," 600 "," 35 "," 75 ",19,"Mzumbe","20498",02-Aug-07,75
9,"Ngerengere ss"," 380 "," 16 "," 50 ",23,"Ngerengere","20499",10-Aug-07,50
10,"Ubena SS / Bwawani ss"," 320 "," 76 "," 50 ","p/bag","Morogoro","20500",10-Aug-07,50
11,"Igota SS"," 338 "," 18 "," 50 ",386,"Ifakara","21376",06-Aug-07,50
12,"Kilosa SS"," 532 "," 27 "," 75 ",145,"Kilosa","21436",01-Aug-07,75
13,"Kipingo SS"," 300 "," 15 "," 50 ",29,"Malinyi","21378",04-Aug-07,50
14,"Malecele SS"," 286 "," 13 "," 50 ",290,"Kidatu","21379",02-Aug-07,50
15,"Mvomero SS"," 244 "," 18 "," 50 ",2163,"Morogoro","21380",04-Aug-07,50
16,"Mgugu ss"," 260 "," 13 "," 50 ",320,"Berega- Morogoro","21381",14-Aug-07,50
17,"Mlimba ss"," 380 "," 21 "," 50 ",35,"Mlimba","21383",08-Aug-07,50
18,"Mang'ula ss",,," 50 ",96,"Mang'ula","21384",02-Aug-07,50
19,"Gairo ss"," 304 "," 23 "," 50 ",155,"Gairo","21385",14-Aug-07,50
20,"Kimamba ss"," 400 "," 22 "," 50 ",66,"Kimamba","21386",01-Aug-07,50
21,"Mkono wa mara ss",,," 50 ",119,"Kilosa","21387",31-Jul-07,50
22,"Kilakala ss"," 640 "," 27 "," 75 ",40,"Morogoro","21388",01-Aug-07,75
23,"Morogoro ss"," 800 "," 30 "," 100 ",240,"Morogoro","21389",01-Aug-07,100
24,"Forest Hill ss"," 420 "," 20 "," 50 ",620,"Morogoro","21390",15-Aug-07,50
25,"Kigurunyembe ss"," 510 "," 22 "," 75 ",640,"Morogoro","21391",01-Aug-07,75
26,"Matombo ss"," 340 "," 16 "," 50 ",749,"Morogoro","21392",03-Aug-07,50
27,"St.Anna ss"," 300 "," 35 "," 50 ",610,"Morogoro","21393",14-Aug-07,50
28,"Nelson Mandera ss",,," 50 ",17,"Kingolwira","21394",02-Aug-07,50
29,"Dakawa High School"," 395 "," 20 "," 50 ","p/bag","Morogoro","21395",02-Aug-07,50
30,"Kizuka ss / Mjimpya ss",,," 50 ",180,"Mzumbe","13044",21-Aug-07,50
31,"Askofu AdrianMkoba ss"," 400 "," 16 "," 50 ",180,"Mzumbe","21396",02-Aug-07,50
32,"Bigwa Sisters / St. Denis ss"," 217 "," 28 "," 50 ",269,"Morogoro","13045",21-Aug-07,50
33,"Kasita Seminary",,," 50 ",103,"Mahenge","21397",07-Aug-07,50
34,"Tumaini Lutheran sem.",,," 50 ",194,"Ifakara","21398",06-Aug-07,50
35,"Msolwa ss",,," 50 ",63,"mikumi","21399",15-Aug-07,50
36,"Jabal-Hira Muslim sem"," 472 "," 23 "," 50 ",444,"Morogoro","21400",01-Aug-07,50
37,"Kidatu ss"," 251 "," 15 "," 50 ","p/bag","Kilombero","21401",02-Aug-07,50
38,"Dumila ss",,," 50 ","p/bag","Magole Morogoro","21402",03-Aug-07,50
39,"Mikumi ss"," 420 "," 22 "," 50 ",80,"mikumi","21403",02-Aug-07,50
40,"Lutheran Jnr Seminary"," 409 "," 21 "," 50 ",303,"Morogoro","21404",02-Aug-07,50
41,"St.Francis De Sale sem.",,," 50 ",12,"Morogoro","21405",14-Aug-07,50
42,"St.Peter's Seminary"," 352 "," 16 "," 50 ",758,"Morogoro","21406",01-Aug-07,50
43,"Al-Taaun Islamic Sem.",,," 50 ",5284,"Morogoro","21407",02-Aug-07,50
44,"Mkuyuni ss"," 219 "," 17 "," 50 ",1331,"Morogoro(v)","21408",03-Aug-07,50
45,"Mwaya ss"," 108 "," 7 "," 50 ",215,"Mahenge Ulanga","21409",09-Aug-07,50
46,"Kihonda ss",,," 50 ",1331,"Morogoro","21410",14-Aug-07,50
47,"Educare ss"," 301 "," 23 "," 50 ","p/bag","Morogoro","21411",14-Aug-07,50
48,"Presbyterian sem.ss"," 160 "," 15 "," 50 ",,,"21412",09-Aug-07,50
49,"Mlimba Girls ss"," 500 "," 14 "," 50 ","p/bag","Kilombero","21413",08-Aug-07,50
50,"Saddiq Murad ss / Mtibwa ss",,," 50 ",,"Turiani","13042",07-Aug-07,50
51,"Selembala ss / Muscat ss",,," 50 ",1351,"Morogoro","13040",20-Aug-07,50
52,"Sumaye ss",,," 50 ",,,"21415",02-Aug-07,50
53,"St.Moses ss / Malati ss",,," 50 ",,,"21416",02-Aug-07,50
54,"Kayenzi ss",,," 50 ",,,"21417",09-Aug-07,50
55,"Regina Mong ss",,," 50 ",,,,,
56,"MHONDA",,," 75 ",14,"Turiani","21419",03-Aug-07,75
57,"MOROGORO TTC / Nanenane ss",,," 75 ",691,"Morogoro","13041",22-Aug-07,75
58,"Mlimba Girls ss"," 120 ",," 50 ",,"Kilosa",,,
59,"Kutukutu SS"," 85 ",," 50 ",,"Kilosa","21421",03-Aug-07,50
60,"masanze SS"," 60 ",," 50 ",,"Kilosa","21422",03-Aug-07,50
61,"Ulaya ss"," 130 ",," 50 ",,"Kilosa","21423",07-Aug-07,50
62,"Zombo Ss"," 126 ",," 50 ",,"Kilosa","21424",03-Aug-07,50
63,"Nongwe SS"," 77 ",," 50 ",,"Kilosa",,,
64,"Mabwerebwere SS"," 58 ",," 50 ",,"Kilosa","21426",02-Aug-07,50
65,"Betty Michell SS"," 134 ",," 50 ","115,kilosa","Kilosa",,,
66,"Kigurunyembe TTC",,," 75 ",,"Morogoro","21430",15-Aug-07,75
67,"Ilonga TTc",,," 75 ",98,"Kilosa","21431",30-Jul-07,75
68,"Take Forty ss",,," 50 ",,,"21433",03-Aug-07,50
69,"Lupanga ss",,," 50 ",,,"21434",15-Aug-07,50
70,"Mafiga ss",,," 50 ",,,"21435",16-Aug-07,50
71,"Kiloka ss",,," 50 ",,,,,
72,"Mziha ss",,," 50 ",,,"21437",04-Aug-07,50
73,"Mgulasi ss",,," 50 ",,,"21438",13-Aug-07,50
74,"Hembeti ss",,," 50 ",,,"21439",03-Aug-07,50
75,"Mbogo ss",,," 50 ",,,"21440",09-Aug-07,50
76,"Bravo ss",,," 50 ",,,"21441",03-Aug-07,50
77,"Uluguru ss",,," 50 ",,,"21442",09-Aug-07,50
78,"Nasoro Seif ss",,," 50 ",,,"21443",03-Aug-07,50
79,"Mwembe Songo ss",,," 50 ",,,"21444",09-Aug-07,50
80,"Msowelo ss",,," 50 ",,,,,
81,"Kingolwila ss",,," 50 ",,,"21446",07-Aug-07,50
82,"Al Aqabahsemy ss",,," 50 ",,,"21447",15-Aug-07,50
83,"Mvumi ss",,," 50 ",,,"21448",01-Aug-07,50
84,"Mgeta SS",,," 50 ",,,"20497",02-Aug-07,50
,,,," 4,500 ",,,,,"4,200"
,"MTWARA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Chidya SS"," 324 "," 25 "," 50 ",324,"Masasi",,,
2,"Masasi Girls SS"," 390 "," 28 "," 50 ",53,"Masasi","21302",29-Aug-07,50
3,"Mtwara Girls SS"," 335 "," 43 "," 50 ",164,"Mtwara","21303",03-Aug-07,50
4,"Mtwara Tech SS"," 500 "," 41 "," 50 ",104,"Mtwara","21304",07-Aug-07,50
5,"Nanyamba SS"," 320 "," 19 "," 50 ",231,"Mtwara","21305",08-Mar-07,50
6,"Ndanda SS"," 850 "," 51 "," 100 ",10,"Ndanda","21306",16-Aug-07,100
7,"Ndwika Girls SS"," 352 "," 21 "," 50 ",200,"Masasi","21307",28-Aug-07,50
8,"Newala Day SS"," 320 "," 23 "," 50 ",184,"Newala","21308",28-Aug-07,50
9,"Nanyumbu ss"," 80 "," 5 "," 50 ",,,"21309",03-Aug-07,50
10,"Michiga ss"," 80 "," 7 "," 50 ",466,"Masasi","21310",28-Jul-07,50
11,"Makong'onda ss"," 80 "," 6 "," 50 ",370,"Masasi","21311",09-Aug-07,50
12,"Mbemba ss"," 80 "," 7 "," 50 ",,,"21312",16-Aug-07,50
13,"Masasi Day SS"," 395 "," 24 "," 50 ",361,"Masasi","21313",29-Aug-07,50
14,"Nanguruwe SS"," 215 "," 11 "," 50 ",129,"Mtwara ®","21314",28-Aug-07,50
15,"Nangwanda  Girls SS"," 320 "," 18 "," 50 ",370,"Newala","21315",28-Aug-07,50
16,"Mnyambe SS"," 290 "," 16 "," 50 ",339,"Newala","21316",03-Aug-07,50
17,"Kitangali SS"," 419 "," 21 "," 50 ",405,"Newala",,,
18,"Mahuta Day SS"," 320 "," 13 "," 50 ",407,"Tandahimba","21318",28-Aug-07,50
19,"Luagala SS"," 235 "," 13 "," 50 ",404,"Tandahimba","21319",08-Jan-07,50
20,"TTC SS"," 284 "," 92 "," 50 ",506,"Mtwara",,,
21,"Tandahimba SS"," 320 "," 12 "," 50 ",74,"Mtwara","21321",28-Aug-07,50
22,"Namukupa ss"," 184 "," 8 "," 50 ",31,"Tandahimba","21322",08-Sep-07,50
23,"Mnyawa ss"," 75 "," 5 "," 50 ",,,,,
24,"Chaume ss"," 182 "," 7 "," 50 ",62,"Tandahimba","21324",03-Aug-07,50
25,"Mangaka ss"," 320 "," 9 "," 50 ",219,"Masasi","21325",02-Aug-07,50
26,"Lukuledi ss"," 210 "," 13 "," 50 ",372,"Masasi","21326",01-Aug-07,50
27,"Naliandele ss"," 186 "," 16 "," 50 ",66,"Mtwara","21327",01-Aug-07,50
28,"Sabasaba"," 600 "," 32 "," 75 ",98,"Mtwara","21328",07-Aug-07,75
29,"Mikangaula ss"," 80 "," 5 "," 50 ",,,"21329",03-Aug-07,50
30,"Chiungutwa ss"," 80 "," 7 "," 50 ",,,"21330",28-Aug-07,50
31,"Mwembemtapike ss "," 80 "," 5 "," 50 ",,,,,
32,"Kitaya Islamic Sem. "," 70 "," 10 "," 50 ",266,"Mtwara(V)","21351",24-Sep-07,50
33,"Ocean Ss"," 506 "," 24 "," 75 ",511,"Mtwara","21333",10-Aug-07,75
34,"Mtwara Sisters seminary"," 78 "," 24 "," 50 ",526,"Mtwara","21334",10-Aug-07,50
35,"Mtawanya FDC"," 31 "," 15 "," 50 ",198,"Mtwara","21336",12-Aug-07,50
36,"Mtapika ss"," 189 "," 9 "," 50 ",,"Mtwara(V)","21337",03-Aug-07,50
37,"Sino-Tanzania Friendship ss"," 85 "," 5 "," 50 ",92,"Mtwara","21335",06-Aug-07,50
38,"Raha Leo Day ss"," 167 "," 6 "," 50 ",250,"Mtwara","21338",06-Aug-07,50
39,"Ziwani Day ss"," 90 "," 2 "," 50 ",528,"Mtwara","21343",13-Aug-07,50
40,"Kiuta ss"," 169 "," 10 "," 50 ",188,"Newala","21339",16-Aug-07,50
41,"Mtangalanga ss"," 164 "," 6 "," 50 ",189,"Newala","21340",18-Aug-07,50
42,"KITANGALI TTC",,," 75 ",75,"Newala","21341",08-Sep-07,50
43,"MTWARA (K) TTC",,," 75 ",506,"Mtwara","21342",07-Aug-07,75
44,"MTWARA(U)TTC",,," 75 ",230,"Mtwara","21344",07-Aug-07,75
45,"Mikindani ss",,," 50 ",,,"21345",03-Jul-07,50
46,"Acuinass ss",,," 50 ",,,"21346",06-Aug-07,50
47,"King David ss",,," 50 ",,,,,
48,"Mangamba ss",,," 50 ",,,"21348",13-Aug-07,50
49,"Amanah ss",,," 50 ",,,"21349",06-Aug-07,50
50,"Umoja ss",,," 50 ",,,"21350",07-Aug-07,50
51,"Kitaya ss",,," 50 ",,,,,
52,"Mayanga ss",,," 50 ",,,"21352",03-Aug-07,50
53,"Mahurunga ss",,," 50 ",497,"Mtwara","21353",24-Sep-07,50
54,"Mnyawi ss",,," 50 ",,,,,
55,"Mtiniko ss",,," 50 ",,,,,
56,"Dihimba ss",,," 50 ",528,"Mtwara","21356",17-Aug-07,50
57,"Chitekete ss",,," 50 ",,,,,
58,"Mpotola ss",,," 50 ",173,"Newala","21359",03-Sep-07,50
59,"Mtopwa ss",,," 50 ",125,"Newala","21360",20-Aug-07,50
60,"Makukwe ss",,," 50 ",,,,,
61,"Makute ss",,," 50 ",,,,,
62,"Kusini ss",,," 50 ",,,,,
63,"Nachunyu ss",,," 50 ",,,,,
64,"Mgunja ss",,," 50 ",,,,,
65,"Mikumbi ss",,," 50 ",363,"Newala","21358",31-Aug-07,50
66,"Lienje ss ",,," 50 ",,,,,
67,"Maundo ss",,," 50 ",31,"Tandahimba","21367",28-Aug-07,50
68,"Mpindimbi ss ",,," 50 ",,,"21373",27-Sep-07,50
69,"Namombwe ss",,," 50 ",122,"Masasi","21369",31-Aug-07,50
70,"Namalenga ss / Mwewa ss",,," 50 ",,,"21331",03-Aug-07,50
71,"Nanjota ss",,," 50 ",,,"21371",03-Aug-07,50
72,"Nanganga ss",,," 50 ",,,"21372",16-Aug-07,50
73," Shangani ss",,," 50 ",,,"21320",10-Aug-07,50
74,"Namajani ss / Msimbati ss",,," 50 ",,,"21332",03-Aug-07,50
,," 10,055 "," 714 "," 3,875 ",,,,," 3,050 "
,"MWANZA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Bukongo SS"," 667 "," 24 "," 75 ",474,"Nansio","21052",09-Aug-07,75
2,"Bulima SS"," 640 "," 36 "," 75 ",211,"Magu","21053",06-Aug-07,75
3,"Bwiru Girls SS"," 450 "," 48 "," 50 ",2615,"Mwanza","21054",06-Aug-07,50
4,"Geita SS"," 713 "," 24 "," 75 ",72,"Geita","21055",10-Aug-07,75
5,"Kilangalanga SS"," 359 "," 15 "," 50 ",508,"Geita","21056",10-Aug-07,50
6,"Magu SS"," 640 "," 20 "," 75 ",186,"Magu","21057",06-Aug-07,75
7,"Ngudu SS"," 302 "," 16 "," 50 ",49,"Mwanza","21058",10-Aug-07,50
8,"Nsumba SS"," 630 "," 32 "," 75 ",1212,"Mwanza","21059",06-Aug-07,75
9,"Nyambulukana SS"," 578 "," 31 "," 75 ",104,"Sengerema","21060",09-Aug-07,75
10,"Misungwi ss"," 594 "," 13 "," 75 ","p/bag","Misungwi","21061",09-Aug-07,75
11,"Nassa ss"," 270 "," 10 "," 50 ",440,"Magu","21062",06-Aug-07,50
12,"Bukandwe ss"," 320 "," 20 "," 50 ",11924,"Magu","21063",07-Aug-07,50
13,"Mwamashimba ss"," 248 "," 10 "," 50 ",66,"Ngudu Kwimba","21064",10-Aug-07,50
14,"Tallo ss"," 521 "," 12 "," 75 ",99,"Ngudu Kwimba","21065",10-Aug-07,75
15,"Nyang'wale ss"," 520 "," 13 "," 75 ",299,"Geita","21066",09-Aug-07,75
16,"Nyamilama ss"," 320 "," 13 "," 50 ",52,"Ngudu Kwimba","21067",10-Aug-07,50
17,"Kome ss"," 283 "," 8 "," 50 ",153,"Sengerema","21068",13-Aug-07,50
18,"Butundwe ss"," 360 "," 12 "," 50 ",442,"Geita","21069",09-Aug-07,50
19,"Bwisya ss"," 453 "," 9 "," 50 ",265,"Nansio","21070",13-Aug-07,50
20,"Misasa ss"," 409 "," 16 "," 50 ",11617,"Misungwi","21071",10-Aug-07,50
21,"Nganza SS"," 666 "," 30 "," 100 ",1252,"Mwanza","21072",06-Aug-07,100
22,"Sengerema SS"," 850 "," 32 "," 100 ",42,"Sengerema","21073",09-Aug-07,100
23,"Sumve Girls SS"," 700 "," 23 "," 75 ",30,"Mantare","21074",31-Jul-07,75
24,"Busolwa SS"," 216 ",," 50 ",569,"Geita","21075",09-Aug-07,50
25,"Bugando SS"," 290 "," 12 "," 50 ",151,"Geita","21076",08-Aug-07,50
26,"Kiromije ss"," 284 "," 14 "," 50 ",10112,"Misungwi","21077",10-Aug-07,50
27,"Murutunguru ss"," 510 "," 20 "," 50 ",20,"Nansio","21078",09-Aug-07,50
28,"Kagunguli ss"," 374 "," 19 "," 50 ",83,"Nansio","21079",09-Aug-07,50
29,"Katunguru ss"," 274 "," 12 "," 50 ",750,"Sengerema","21080",08-Aug-07,50
30,"Kahunda ss"," 300 "," 15 "," 50 ",187,"Sengerema","21081",08-Aug-07,50
31,"Nyehunge ss"," 318 "," 15 "," 50 ",240,"Sengerema","21082",10-Aug-07,50
32,"Sima ss"," 264 "," 9 "," 50 ",125,"Sengerema","21083",07-Aug-07,50
33,"Busongo ss"," 460 "," 12 "," 50 ",10859,"Misungwi","21084",10-Aug-07,50
34,"Butimba Day ss"," 445 "," 30 "," 50 ","p/bag","Mwanza","21085",06-Aug-07,50
35,"Mwanza ss"," 1,200 "," 80 "," 100 ",149,"Mwanza","21086",07-Aug-07,100
