,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
22,"Mzenga ss"," 300 "," 13 "," 50 ","P/bag","Kisarawe","19282",23-Aug-07,50
23,"Nnuru ss / Sotele ss"," 210 "," 9 "," 50 ",5875,"Dsm","21556",13-Aug-07,50
24,"St.Mathew ss"," 320 "," 32 "," 50 ",7541,"Dsm","21565",07-Aug-07,50
25,"Kisarawe Lutheran sem"," 350 "," 35 "," 50 ",28048,"Kisarawe","19283",27-Aug-07,50
26,"Nianjema ss"," 280 "," 22 "," 50 ",215,"Bagamoyo","6/8",06-Aug-07,50
27,"Waliuli ADR"," 200 "," 22 "," 50 ",1895,"Dsm","21576",06-Aug-07,50
28,"Jesazandegi Girls ss / Mailimoja ss"," 273 "," 22 "," 50 ",30468,"Kibaha","21577",06-Aug-07,50
29,"St.Romax SS"," 210 "," 15 "," 50 ",46334,"Pwani","21566",06-Aug-07,50
30,"Chanzige  SS"," 300 "," 21 "," 50 ",28021,"Kisarawe","21599",27-Aug-07,50
31,"Janguo  ss"," 147 "," 15 "," 50 ",28095,"Kisarawe","21647",25-Aug-07,50
32,"East Coast ss"," 260 "," 20 "," 50 ","P/bag",,"21578",06-Aug-07,50
33,"Muhoro ss"," 230 "," 13 "," 50 ",80,"Kibiti","21594",11-Aug-07,50
34,"Rualuke ss"," 300 "," 15 "," 50 ",89,"Kibaha","21595",09-Aug-07,50
35,"Mama Sitti Mwinyi ss / Ujenzi ss"," 290 "," 20 "," 50 ",2,"Mkuranga","21557",13-Aug-07,50
36,"St.Mary's sem Visiga "," 260 "," 20 "," 50 ",167,"Dsm","21581",07-Aug-07,50
37,"Pius ss"," 158 "," 16 "," 50 ",100032,"Kongowe","21567",06-Aug-07,50
38,"Golden Rule seminary"," 278 "," 21 "," 50 ",63088,"Kongowe","21568",07-Aug-07,50
39,"Eurea Junior Seminary"," 86 "," 12 "," 50 ",46376,,"21569",06-Aug-07,50
40,"St. George ss"," 180 "," 18 "," 50 ",104650,,"21570",06-Aug-07,50
41,"Cornerstone Christian sem"," 120 "," 13 "," 50 ",70091,"Dsm","21571",07-Aug-07,50
42,"Mseru ss"," 218 "," 32 "," 50 ",104989,"Kongowe","21572",06-Aug-07,50
43,"Filbert Bayi ss"," 170 "," 18 "," 50 ",30872,"Kibaha","21584",13-Aug-07,50
44,"Heri ss"," 110 "," 16 "," 50 ",159966,"Kibaha","21585",13-Aug-07,50
45,"Msaki Memorial Girls ss"," 250 "," 18 "," 50 ",55761,"Dsm","21586",13-Aug-07,50
46,"Baobab ss"," 220 "," 13 "," 50 ",35692,"Bagamoyo","21563",06-Aug-07,50
47,"Breakthrough"," 125 "," 12 "," 50 ",270,"Bagamoyo","21559",06-Aug-07,50
48,"Marumbo ss"," 120 "," 10 "," 50 ",28041,"Kisarawe","21646",26-Aug-07,50
49,"Mkamba ss"," 135 "," 14 "," 50 ",,"Kimanzichana","21558",15-Aug-07,50
50,"Zimbwini ss"," 160 "," 18 "," 50 ",45,"Rufiji","21596",09-Aug-07,50
51,"Kirogwe ss"," 240 "," 26 "," 50 ",70,"Mafia","19286",17-Aug-07,50
52,"Shungubweni ss",,," 50 ",110,"Mkuranga","19285",10-Aug-07,50
53,"Greenland ss / Kifai ss"," 90 "," 12 "," 50 ","P/bag","Kibaha","21533",13-Aug-07,50
54,"Vikindu TTc",,," 75 ",,,"21553",15-Aug-07,75
,," 15,616 "," 1,171 "," 3,025 ",,,,,"3,025"
,"DODOMA                                                                                    ",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Bihawana SS"," 350 "," 34 "," 50 ",934,"Dodoma","21752",31-Jul-07,50
2,"Jamhuri SS"," 1,000 "," 52 "," 100 ",1653,"Dodoma","21756",01-Aug-07,100
3,"Kigwe SS"," 250 "," 13 "," 50 ",656,"Dodoma",,,
4,"Kondoa Girls SS"," 546 "," 52 "," 50 ",193,"Kondoa","21757",07-Aug-07,50
5,"Kurio Agr.Tech SS"," 200 "," 10 "," 50 ",293,"Kondoa","21636",02-Aug-07,50
6,"Kwapakacha SS"," 265 "," 13 "," 50 ",788,"Kondoa","21758",07-Aug-07,50
7,"Mazengo Tech. S"," 340 "," 30 "," 200 ",47,"Dodoma","21759",01-Aug-07,200
8,"Kibakwe SS"," 300 "," 14 "," 50 ",243,"Mpwapwa","21601",15-Aug-07,50
